Threads;NImgs;RowsFilter;executionTime
1;1;7;87,123
1;1;7;91,397
1;1;7;82,724
1;1;7;92,158
1;1;7;84,388
2;1;7;43,954
2;1;7;47,878
2;1;7;42,716
2;1;7;43,752
2;1;7;43,339
3;1;7;29,628
3;1;7;33,899
3;1;7;29,854
3;1;7;29,578
3;1;7;31,403
4;1;7;22,411
4;1;7;22,302
4;1;7;22,832
4;1;7;22,421
4;1;7;22,811
5;1;7;19,231
5;1;7;18,764
5;1;7;18,245
5;1;7;18,428
5;1;7;17,933
6;1;7;15,888
6;1;7;16,523
6;1;7;15,825
6;1;7;15,813
6;1;7;16,241
7;1;7;13,111
7;1;7;13,829
7;1;7;14,114
7;1;7;14,625
7;1;7;14,039
8;1;7;13,626
8;1;7;13,077
8;1;7;12,763
8;1;7;14,605
8;1;7;12,138
9;1;7;11,790
9;1;7;12,812
9;1;7;13,222
9;1;7;13,424
9;1;7;12,297
10;1;7;13,164
10;1;7;12,395
10;1;7;11,883
10;1;7;11,805
10;1;7;11,996
11;1;7;11,782
11;1;7;11,464
11;1;7;11,611
11;1;7;11,872
11;1;7;11,501
12;1;7;11,430
12;1;7;11,138
12;1;7;12,191
12;1;7;11,305
12;1;7;11,752
13;1;7;10,651
13;1;7;11,100
13;1;7;11,302
13;1;7;10,950
13;1;7;10,949
14;1;7;11,083
14;1;7;10,733
14;1;7;11,452
14;1;7;11,113
14;1;7;11,312
15;1;7;9,847
15;1;7;10,710
15;1;7;10,960
15;1;7;10,334
15;1;7;10,637
16;1;7;9,858
16;1;7;10,445
16;1;7;11,255
16;1;7;10,127
16;1;7;11,641
17;1;7;9,890
17;1;7;10,806
17;1;7;10,713
17;1;7;11,006
17;1;7;10,920
18;1;7;11,359
18;1;7;10,832
18;1;7;10,453
18;1;7;10,723
18;1;7;10,393
19;1;7;10,443
19;1;7;10,844
19;1;7;10,668
19;1;7;10,988
19;1;7;10,353
20;1;7;10,450
20;1;7;10,492
20;1;7;11,889
20;1;7;11,064
20;1;7;11,026
21;1;7;11,070
21;1;7;10,420
21;1;7;10,792
21;1;7;10,391
21;1;7;11,399
22;1;7;10,873
22;1;7;10,552
22;1;7;10,500
22;1;7;10,648
22;1;7;10,663
